[INFO] [1785745054.989380623] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745057.989757746] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785745063.989963480] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745068.989472625] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745075.991437435] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745078.989588892] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745081.990080774] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745083.990703306] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745086.989283109] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745098.989690467] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745107.989677056] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745113.989477230] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785745115.989406715] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745119.989683597] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745124.989578451] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745129.989493612] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745132.989403512] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785745134.989751990] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785745137.989719315] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785745141.989846089] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745148.989842205] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745157.989535993] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745165.989968406] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745176.989818122] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785745178.989821825] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785745183.989625681] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745188.989637536] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785745191.989201129] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745470.990550662] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745473.989676330] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745483.989744481] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785745501.989645754] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745505.990006709] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745507.989361618] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
